what , 1
does , 1
this , 29
help , 1
with? , 1
change , 8
spelling , 1
remove , 5
log , 6
if , 6
not , 6
required , 4
Don't , 1
use , 3
static , 1
context , 1
verify , 1
the , 23
string , 2
please , 2
add , 2
test , 3
cases , 1
for , 9
firebase , 1
performance , 2
can , 3
return , 2
full , 1
list , 1
or , 2
method , 4
be , 8
renamed , 1
to , 15
fetchFirst() , 1
out , 1
removed , 3
Remove , 8
import , 1
as , 2
it , 7
is , 5
used , 2
No , 31
Additional , 31
Comments , 28
CommentsN , 1
o , 1
Move , 4
condition , 4
a , 2
with , 5
meaning , 2
name , 4
easy , 2
understanding. , 2
Also , 5
apply , 2
formatting , 3
above , 2
line. , 1
There , 2
was , 5
difference , 1
between , 1
android , 1
and , 7
iOS , 1
logic , 1
which , 1
handle , 1
just , 2
line , 1
Reformat , 1
code , 5
once , 8
testing , 7
done. , 5
Added , 2
reminding , 1
purpose , 4
Format , 2
TIME , 2
logs , 2
done." , 1
. , 2
Rename , 1
variable , 2
""HUNDRED""" , 1
Why , 3
API , 6
written? , 1
timing , 3
Comment , 3
given , 6
tracking , 3
only , 3
need , 4
assign , 1
another , 1
variable. , 1
Directly , 1
return. , 1
Do , 1
in , 5
all , 1
classes , 1
where , 2
delete , 1
operations , 1
performed , 1
applicable , 1
PR. , 1
Check , 1
Revert , 9
done , 2
Jenkins , 1
file , 6
Pass , 1
momentTimeStamp , 1
instead , 1
of , 2
resultDate , 1
compare , 1
DateUtil.getDaysFromNow(HelperConstants.DATA_PURGING_DB_NO_OF_DAYS , 1
1.Format , 1
code. , 1
2. , 1
onStart(). , 1
3. , 1
check , 3
response , 2
getting , 1
executed , 1
Main , 1
thread , 1
not. , 1
4. , 1
Dispose , 1
received , 1
make , 1
private , 1
If , 2
handler , 1
null , 1
do , 1
emitter.onNext(true). , 1
Other , 2
wise , 1
call , 2
back , 1
will , 1
bot , 1
get , 1
called. , 2
This , 3
should , 7
from , 1
here , 2
It , 3
handleDrsDialogOnAppUpgrade. , 1
inside , 3
else , 1
part , 1
After , 1
we , 2
emitter.onNext(true); , 1
CommentsNo , 1
Please , 5
rename , 4
isSessionDataPriorThreshold , 2
switch , 1
case , 2
here. , 1
type , 1
TuscanyUtils.checkPrivacyNotice , 1
work , 1
DD_INTERNET_ERROR_DIALOG? , 1
appropriate , 1
one , 1
here? , 1
Can , 1
you , 2
openUrlInExternalBrowser. , 1
fill , 1
up , 1
template , 1
Approved , 1
based , 1
on , 3
verification , 1
changes , 2
class , 1
SplashInsurancePresenter.java. , 1
are , 1
verified , 1
by , 2
me. , 1
Is , 1
any , 1
? , 2
Code , 2
Duplication , 1
Use , 1
var , 1
position , 2
this. , 2
no , 1
problem , 1
using , 1
suppress , 3
warning , 1
required. , 3
Based , 2
comment , 3
before , 1
implementation , 1
removed. , 1
so , 1
also , 1
remobved , 1
May , 1
comments , 1
whether , 1
Keep , 1
y0 , 1
x1 , 1
them , 1
global , 1
Imp , 1
: , 2
changes. , 1
may , 1
impact. , 1
change. , 2
warning. , 2
Similar , 1
before. , 1
Java , 1
might , 1
giving , 1
error , 1
related , 1
fixed , 1
size , 1
array , 1
passed , 1
replace , 1
ArrayUtils.toPrimitive(finalVisibleSubSegmentsIndexList.toArray(new , 1
Integer[0])) , 1
Important , 1
Validate , 1
!= , 1
xml , 1
along , 1
TestActivity.java , 1
title_activity_test , 1
TestTuscanyApplicationActivity.java , 1
also. , 1
Make , 2
private. , 2
init , 1
calendar. , 1
move , 1
public , 1
Calendar , 2
calendar , 1
= , 1
Calendar.getInstance(); , 1
method. , 1
The , 1
obj. , 1
getSessionForCloudUpload. , 1
Comments" , 1
""UTF-8"" , 1
TuscanyConstants" , 1
 , 1
